cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
22512,Vertebroplasty addl inject,A,3.9,17.53,0.81,0.72
22513,Perq vertebral augmentation,A,8.43,163.68,3.58,1.57
22514,Perq vertebral augmentation,A,7.79,164.59,3.47,1.44
22515,Perq vertebral augmentation,A,3.9,84.46,0.97,0.79
22532,Arthrd lat xtrcvtry tq thrc,A,25.34,17.77,17.77,8.75
22533,Arthrd lat xtrcvtry tq lmbr,A,24.17,15.51,15.51,6.66
22534,Arthrd lat xtrcvtry tq ea ad,A,5.84,1.94,1.94,1.91
22548,Arthrd ant toral/xoral c1-c2,A,26.38,20.66,20.66,11.15
22551,Arthrd ant ntrbdy cervical,A,24.38,15.43,15.43,8.24
22552,Arthrd ant ntrbd cervical ea,A,6.34,2.13,2.13,2.1
22554,Arthrd ant ntrbd min dsc crv,A,17.25,13.35,13.35,5.81
22556,Arthrd ant ntrbd min dsc thc,A,24.08,16.08,16.08,7.71
22558,Arthrd ant ntrbd min dsc lum,A,22.94,13.2,13.2,6.49
22585,Arthrd ant ntrbd min dsc ea,A,5.38,1.62,1.62,1.61
22586,Arthrd pre-sac ntrbdy l5-s1,A,27.42,21.11,21.11,11.59
22590,Arthrd pst tq craniocervical,A,21.22,17.41,17.41,8.05
22595,Arthrd pst tq atlas-axis,A,20.12,17.09,17.09,7.67
22600,Arthrd pst tq 1ntrspc crv,A,16.97,15.37,15.37,6.07
22610,Arthrd pst tq 1ntrspc thrc,A,16.85,14.96,14.96,5.78
22612,Arthrd pst tq 1ntrspc lumbar,A,22.94,14.38,14.38,6.62
22614,Arthrd pst tq 1ntrspc ea add,A,6.27,2.11,2.11,2.08
22630,Arthrd pst tq 1ntrspc lum,A,21.54,15.81,15.81,7.88
22632,Arthrd pst tq 1ntrspc lm ea,A,5.09,1.73,1.73,1.79
22633,Arthrd cmbn 1ntrspc lumbar,A,26.13,16.31,16.31,8.46
22634,Arthrd cmbn 1ntrspc ea addl,A,7.76,2.61,2.61,2.58
22800,Arthrd pst dfrm<6 vrt sgm,A,19.01,14.54,14.54,5.76
22802,Arthrd pst dfrm 7-12 vrt sgm,A,31.31,17.86,17.86,8.8
22804,Arthrd pst dfrm 13+ vrt sgm,A,36.56,19.62,19.62,10.36
22808,Arthrd ant dfrm 2-3 vrt sgm,A,26.82,17.22,17.22,8.49
22810,Arthrd ant dfrm 4-7 vrt sgm,A,30.71,16.51,16.51,6.55
22812,Arthrd ant dfrm 8+ vrt sgm,A,33.39,18.5,18.5,7.12
22818,Kyphectomy 1-2 segments,A,33.47,16.63,16.63,7.14
22819,Kyphectomy 3 or more,A,38.4,19.34,19.34,8.18
22830,Exploration of spinal fusion,A,10.94,9.42,9.42,3.34
22836,Ant thrc vrt body tethrg <7,A,31.2,16.33,16.33,6.64
22837,Ant thrc vrt body tethrg 8+,A,34.61,11.46,11.46,3.69
22838,Rev rplc/rmv thrc vrt tethrg,A,35.1,11.57,11.57,3.75
22840,Insert spine fixation device,A,12.21,4.04,4.04,3.76
22841,Insert spine fixation device,B,0.0,0.0,0.0,0.0
22842,Insert spine fixation device,A,12.25,4.1,4.1,4.01
22843,Insert spine fixation device,A,13.1,4.4,4.4,4.31
22844,Insert spine fixation device,A,16.01,5.32,5.32,4.87
22845,Insert spine fixation device,A,11.64,3.9,3.9,3.85
22846,Insert spine fixation device,A,12.09,4.06,4.06,4.01
22847,Insert spine fixation device,A,13.44,4.28,4.28,2.86
22848,Insert pelv fixation device,A,5.84,1.93,1.93,1.74
22849,Reinsert spinal fixation,A,18.69,12.26,12.26,5.78
22850,Remove spine fixation device,A,9.57,8.88,8.88,3.01
22852,Remove spine fixation device,A,9.14,8.73,8.73,2.85
22853,Insj biomechanical device,A,4.14,1.38,1.38,1.33
22854,Insj biomechanical device,A,5.36,1.8,1.8,1.84
22855,Removal anterior instrmj,A,15.46,11.1,11.1,4.9
22856,Tot disc arthrp 1ntrspc crv,A,23.45,14.72,14.72,7.4
22857,Tot disc arthrp 1ntrspc lmbr,A,26.45,14.89,14.89,5.63
22858,Tot disc arthrp 2nd lvl crv,A,8.19,2.72,2.72,2.54
22859,Insj biomechanical device,A,5.36,1.81,1.81,1.82
22860,Tot disc arthrp 2ntrspc lmbr,A,6.71,1.92,1.92,1.68
